,A,B
0,"BEER/ALE/ALCOHOLIC CIDER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE",YOGURT
1,YOGURT,"BEER/ALE/ALCOHOLIC CIDER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE"
2,"BEER/ALE/ALCOHOLIC CIDER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, YOGURT",WINE
3,WINE,"BEER/ALE/ALCOHOLIC CIDER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, YOGURT"
4,"BEER/ALE/ALCOHOLIC CIDER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, WINE, YOGURT",SALTY SNACKS
5,SALTY SNACKS,"BEER/ALE/ALCOHOLIC CIDER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, WINE, YOGURT"
6,"BEER/ALE/ALCOHOLIC CIDER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, SALTY SNACKS, WINE, YOGURT",RFG FRESH EGGS
7,RFG FRESH EGGS,"BEER/ALE/ALCOHOLIC CIDER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, SALTY SNACKS, WINE, YOGURT"
8,"BEER/ALE/ALCOHOLIC CIDER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",NATURAL CHEESE
9,NATURAL CHEESE,"BEER/ALE/ALCOHOLIC CIDER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
